Username,Description,PullReq,Ratings
Azure / SONiC,Landing page for Software for Open Networking in the Cloud (SONiC) - http://azure.github.io/SONiC/,972,5 stars this week
Igglybuff / awesome-piracy,A curated list of awesome warez and piracy links,"11,470",42 stars this week
amundsen-io / amundsen,"Amundsen is a metadata driven application for improving the productivity of data analysts, data scientists and engineers when interacting with data.","1,437",22 stars this week
FluxionNetwork / fluxion,Fluxion is a remake of linset by vk496 with enhanced functionality.,"2,682",17 stars this week
mdn / learning-area,Github repo for the MDN Learning Area.,"3,207",18 stars this week
TransparentLC / WechatMomentScreenshot,朋友圈转发截图生成工具,746,77 stars this week
PanDownloadServer / Server,PanDownload的个人维护版本,"7,135","2,900 stars this month"
prometheus-community / helm-charts,Prometheus community Helm charts,393,154 stars this month
marcel-dempers / docker-development-youtube-series,none,336,82 stars this month
gustavoguanabara / html-css,Curso de HTML5 e CSS3,"1,946","1,418 stars this month"
jwasham / computer-science-flash-cards,Mini website for testing both general CS knowledge and enforce coding practice and common algorithm/data structure memorization.,"4,891",263 stars this month
fent / node-ytdl-core,YouTube video downloader in javascript.,"1,907",186 stars this month
whatwg / html,HTML Standard,"4,005",107 stars this month
TheEconomist / us-potus-model,Code for a dynamic multilevel Bayesian model to predict US presidential elections. Written in R and Stan.,"1,025",205 stars this month
github / training-kit,Open source cheat sheets for Git and GitHub,"2,882",93 stars this month
fengdu78 / Coursera-ML-AndrewNg-Notes,吴恩达老师的机器学习课程个人笔记,"19,273",526 stars this month
vpncn / vpncn.github.io,2020中国翻墙软件VPN推荐指南，以及对比VPS自建、SSR机场、蓝灯、WireGuard、V2ray、老王VPN等科学上网软件与翻墙方法的优缺点，中国最新科学上网翻墙VPN梯子推荐，稳定好用。,753,124 stars this month
home-assistant / home-assistant.io,📘 Home Assistant User documentation,"1,547",81 stars this month
fengdu78 / deeplearning_ai_books,deeplearning.ai（吴恩达老师的深度学习课程笔记及资源）,"12,062",243 stars this month
vernesong / OpenClash,A Clash Client For OpenWrt,"2,150",174 stars this month
vector-im / element-web,A glossy Matrix collaboration client for the web.,"5,643",125 stars this month
google / fonts,Font files available from Google Fonts,"13,749",104 stars this month
wesbos / JavaScript30,30 Day Vanilla JS Challenge,"13,870",283 stars this month
PKUanonym / REKCARC-TSC-UHT,"清华大学计算机系课程攻略 Guidance for courses in Department of Computer Science and Technology, Tsinghua University","15,311",235 stars this month
TransparentLC / WechatMomentScreenshot,朋友圈转发截图生成工具,746,293 stars this month
saltysimulations / salty-747,none,240,123 stars this month
chiphuyen / machine-learning-systems-design,A booklet on machine learning systems design with exercises,"5,156",218 stars this month
MonkSoul / Fur,🐮 Fur 是 .NET 5 平台下企业应用开发最佳实践框架。（v1.0.0-rc.final.31）,454,231 stars this month
lmk02 / B787-XE,A modification of the Microsoft Flight Simulator 2020 787-10,272,120 stars this month
jenkinsci / helm-charts,Jenkins community Helm charts,51,17 stars this month
RayTracing / raytracing.github.io,Main Web Site (Online Books),"2,164",127 stars this month
trekhleb / javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,"83,153",260 stars today
vercel / next.js,The React Framework,"55,176",154 stars today
microsoft / beginners-intro-javascript-node,Beginner's Series: Introduction to JavaScript (Node.js),792,8 stars today
iptv-org / iptv,Collection of 5000+ publicly available IPTV channels from all over the world,"19,935",11 stars today
WordPress / gutenberg,The Block Editor project for WordPress and beyond. Plugin is available from the official repository.,"6,296",3 stars today
qishibo / AnotherRedisDesktopManager,"🚀🚀🚀A faster, better and more stable redis desktop manager, compatible with Linux, windows, mac. What's more, it won't crash when loading a large number of keys.","9,458",36 stars today
cypress-io / cypress-example-recipes,Various recipes for testing common scenarios with Cypress,"1,557",1 stars today
video-dev / hls.js,JavaScript HLS client using Media Source Extension,"8,595",13 stars today
morris / vanilla-todo,A case study on viable techniques for vanilla web development.,679,122 stars today
przemyslawpluta / node-youtube-dl,youtube-dl driver for node,"1,500",31 stars today
the1812 / Bilibili-Evolved,"强大的哔哩哔哩增强脚本: 下载视频, 音乐, 封面, 弹幕 / 简化直播间, 评论区, 首页 / 自定义顶栏, 删除广告, 夜间模式 / 触屏设备支持","4,219",42 stars today
ansible / awx,AWX Project,"8,534",15 stars today
vuejs / vue,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web.","1,74,499",66 stars today
plotly / plotly.js,Open-source JavaScript charting library behind Plotly and Dash,"12,381",7 stars today
carbon-design-system / carbon,A design system built by IBM,"3,597",4 stars today
givanz / VvvebJs,Drag and drop website builder javascript library.,"3,523",13 stars today
mrdoob / three.js,JavaScript 3D library.,"64,393",44 stars today
OpenZeppelin / openzeppelin-contracts,OpenZeppelin Contracts is a library for secure smart contract development.,"8,629",3 stars today
GideonSenku / Scriptable,A iOS app named Scriptable's scripts,363,21 stars today
mozilla / hubs,Duck-themed multi-user virtual spaces in WebVR. Built with A-Frame.,860,4 stars today
apache / incubator-echarts,"A powerful, interactive charting and data visualization library for browser","43,400",23 stars today
